product_id,product_name,category_id,price,stock_quantity,description,platform
PRD-00024,Smartwatch (Model L38),CAT-0005,79799.43,70,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00025,Smartwatch (Model C16),CAT-0005,69582.72,78,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00026,Laptop (Model Z97),CAT-0006,36662.0,32,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00027,Smartwatch (Model M86),CAT-0006,79709.1,270,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00028,Tablet (Model R11),CAT-0006,56021.26,58,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00029,Tablet (Model Y92),CAT-0006,30513.16,150,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00030,Smartwatch (Model F68),CAT-0006,5243.4,369,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00031,Tablet (Model Q32),CAT-0007,43076.13,54,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00032,Tablet (Model U74),CAT-0007,50672.77,78,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00033,Tablet (Model Y30),CAT-0007,45453.43,398,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00034,Smartphone (Model T51),CAT-0007,41645.43,57,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00035,Tablet (Model Z49),CAT-0007,22958.92,123,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00036,Smartphone (Model C72),CAT-0008,66201.74,500,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00037,Laptop (Model E94),CAT-0008,40646.18,281,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00038,Laptop (Model I77),CAT-0008,70432.48,216,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00039,Laptop (Model R98),CAT-0008,20086.33,159,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00040,Smartwatch (Model V93),CAT-0008,33006.54,460,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00041,Smartwatch (Model D41),CAT-0009,21852.3,173,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00042,Smartphone (Model S80),CAT-0009,22258.6,112,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00043,Smartphone (Model C90),CAT-0009,9415.53,34,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00044,Smartphone (Model K19),CAT-0009,43561.71,142,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00045,Smartwatch (Model G79),CAT-0009,14923.39,478,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00046,Smartwatch (Model H70),CAT-0010,65562.27,97,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00047,Smartphone (Model D94),CAT-0010,37328.84,216,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00048,Smartwatch (Model O16),CAT-0010,55502.34,330,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00049,Smartphone (Model B61),CAT-0010,59616.02,409,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00050,Smartphone (Model H34),CAT-0010,19265.67,229,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00051,Laptop (Model N33),CAT-0011,25890.89,127,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00052,Smartphone (Model O80),CAT-0011,12343.15,333,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00053,Smartphone (Model C40),CAT-0011,17473.33,248,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00054,Smartwatch (Model G61),CAT-0011,72683.21,84,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00055,Smartwatch (Model A59),CAT-0011,24890.23,401,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00056,Smartwatch (Model J64),CAT-0012,57244.36,374,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00057,Smartwatch (Model E34),CAT-0012,27253.09,495,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00058,Smartphone (Model S79),CAT-0012,9571.82,160,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00059,Smartphone (Model B84),CAT-0012,40759.14,470,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00060,Laptop (Model B75),CAT-0012,11008.36,95,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00061,Smartphone (Model T18),CAT-0013,55640.94,120,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00062,Smartwatch (Model D82),CAT-0013,23466.15,304,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00063,Smartphone (Model T20),CAT-0013,36441.87,298,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00064,Tablet (Model I36),CAT-0013,55229.45,160,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00065,Laptop (Model I60),CAT-0013,14815.87,330,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00066,Tablet (Model O50),CAT-0014,74676.37,479,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00067,Smartphone (Model A68),CAT-0014,51586.94,288,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00068,Smartphone (Model C78),CAT-0014,20986.57,135,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00069,Laptop (Model L18),CAT-0014,70945.27,189,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00070,Tablet (Model F66),CAT-0014,67530.87,360,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00071,Tablet (Model T93),CAT-0015,44670.55,341,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00072,Tablet (Model V23),CAT-0015,75419.75,68,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00073,Tablet (Model D23),CAT-0015,60681.25,79,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00074,Tablet (Model J87),CAT-0015,20797.22,175,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00075,Laptop (Model V91),CAT-0015,68968.46,258,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00076,Smartwatch (Model I16),CAT-0016,11922.39,216,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00077,Tablet (Model B10),CAT-0016,30016.74,66,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00078,Tablet (Model F66),CAT-0016,46376.03,218,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00079,Smartphone (Model D19),CAT-0016,75878.82,353,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00080,Laptop (Model R14),CAT-0016,67594.63,298,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00081,Laptop (Model N26),CAT-0017,8137.16,186,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00082,Smartphone (Model L36),CAT-0017,56155.0,341,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00083,Smartphone (Model L81),CAT-0017,71310.1,208,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00084,Laptop (Model H30),CAT-0017,78215.45,415,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00085,Laptop (Model N13),CAT-0017,18452.05,473,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00086,Tablet (Model Z62),CAT-0018,65167.64,442,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00087,Laptop (Model I30),CAT-0018,64053.09,55,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00088,Smartwatch (Model B70),CAT-0018,21682.53,418,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00089,Smartwatch (Model L49),CAT-0018,66540.23,446,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00090,Laptop (Model H13),CAT-0018,54502.49,204,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00091,Tablet (Model I18),CAT-0019,77516.68,142,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00092,Tablet (Model U75),CAT-0019,34975.88,431,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00093,Tablet (Model A24),CAT-0019,70777.88,133,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00094,Laptop (Model S43),CAT-0019,7869.29,305,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00095,Smartwatch (Model L50),CAT-0019,37729.54,261,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00096,Smartphone (Model M83),CAT-0020,19255.91,22,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00097,Smartwatch (Model A76),CAT-0020,74418.14,275,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00098,Laptop (Model L65),CAT-0020,10248.04,340,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00099,Tablet (Model T50),CAT-0020,54754.06,63,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00100,Tablet (Model Q49),CAT-0020,55016.97,167,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00101,Smartwatch (Model W47),CAT-0021,46580.94,98,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00102,Smartwatch (Model V58),CAT-0021,55798.85,462,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00103,Laptop (Model T82),CAT-0021,27571.24,280,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00104,Smartphone (Model J46),CAT-0021,20763.7,402,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00105,Tablet (Model O66),CAT-0021,38161.98,109,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00106,Smartwatch (Model Z31),CAT-0022,54413.81,145,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00107,Tablet (Model C40),CAT-0022,55459.68,115,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00108,Laptop (Model E13),CAT-0022,8466.03,243,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00109,Smartphone (Model O63),CAT-0022,71460.27,294,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00110,Laptop (Model W99),CAT-0022,33798.39,204,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00111,Laptop (Model E93),CAT-0023,56571.68,457,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00112,Smartphone (Model Y64),CAT-0023,21413.09,411,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00113,Smartwatch (Model B81),CAT-0023,23689.87,434,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00114,Smartphone (Model O27),CAT-0023,65106.25,341,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00115,Tablet (Model Y66),CAT-0023,50948.92,368,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00116,Smartwatch (Model R67),CAT-0024,72290.61,380,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00117,Smartwatch (Model O43),CAT-0024,61383.26,430,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00118,Tablet (Model Y76),CAT-0024,41344.78,122,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00119,Tablet (Model O19),CAT-0024,58515.86,120,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00120,Tablet (Model K50),CAT-0024,71977.01,41,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00121,Laptop (Model E39),CAT-0025,33727.65,78,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00122,Laptop (Model C63),CAT-0025,35569.95,277,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00123,Smartwatch (Model N17),CAT-0025,20512.58,215,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00124,Smartwatch (Model Y84),CAT-0025,75954.65,10,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00125,Smartwatch (Model P10),CAT-0025,75705.62,152,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00126,Smartwatch (Model N78),CAT-0026,61063.68,279,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00127,Laptop (Model P38),CAT-0026,25470.15,248,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00128,Smartphone (Model M53),CAT-0026,55165.52,408,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00129,Smartwatch (Model X31),CAT-0026,68037.92,470,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00130,Laptop (Model T78),CAT-0026,7022.48,201,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00131,Smartphone (Model C92),CAT-0027,37145.96,443,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00132,Smartwatch (Model F16),CAT-0027,24511.72,167,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00133,Laptop (Model O51),CAT-0027,30312.54,450,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00134,Smartwatch (Model I63),CAT-0027,23920.36,41,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00135,Smartwatch (Model A79),CAT-0027,8906.42,487,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00136,Tablet (Model H93),CAT-0028,10146.38,490,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00137,Smartphone (Model Y13),CAT-0028,76220.88,102,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00138,Smartphone (Model T29),CAT-0028,22890.87,242,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00139,Smartphone (Model S37),CAT-0028,39877.55,131,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00140,Tablet (Model F87),CAT-0028,50543.56,382,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00141,Smartphone (Model Y30),CAT-0029,77354.06,55,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00142,Smartphone (Model J83),CAT-0029,55801.05,490,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00143,Smartwatch (Model M35),CAT-0029,10699.74,353,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00144,Laptop (Model D99),CAT-0029,62936.07,435,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00145,Smartphone (Model Z82),CAT-0029,63697.65,177,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00146,Smartwatch (Model V57),CAT-0030,10171.76,331,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00147,Tablet (Model A63),CAT-0030,66674.82,54,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00148,Smartwatch (Model L91),CAT-0030,71868.13,235,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00149,Laptop (Model N32),CAT-0030,60034.65,494,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00150,Tablet (Model T78),CAT-0030,63098.11,238,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00151,Smartwatch (Model X85),CAT-0031,25129.67,436,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00152,Laptop (Model C45),CAT-0031,71122.34,124,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00153,Smartwatch (Model S88),CAT-0031,55114.14,172,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00154,Smartphone (Model P51),CAT-0031,18637.99,108,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00155,Tablet (Model Z43),CAT-0031,30525.41,450,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00156,Tablet (Model R11),CAT-0032,43747.04,97,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00157,Smartphone (Model H62),CAT-0032,41643.34,388,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00158,Laptop (Model W70),CAT-0032,53442.72,251,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00159,Smartwatch (Model Z12),CAT-0032,11979.0,113,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00160,Smartwatch (Model W41),CAT-0032,27965.45,297,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00161,Tablet (Model P80),CAT-0033,44819.14,217,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00162,Tablet (Model L99),CAT-0033,39030.89,156,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00163,Tablet (Model H25),CAT-0033,59096.32,161,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00164,Smartphone (Model X78),CAT-0033,76315.82,353,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00165,Laptop (Model G37),CAT-0033,60395.35,141,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00166,Tablet (Model D34),CAT-0034,27218.48,184,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00167,Laptop (Model J11),CAT-0034,58101.39,64,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00168,Tablet (Model B16),CAT-0034,46501.92,357,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00169,Laptop (Model U72),CAT-0034,12694.07,6,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00170,Tablet (Model P71),CAT-0034,38035.16,94,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00171,Smartphone (Model I71),CAT-0035,13556.54,33,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00172,Smartwatch (Model P19),CAT-0035,48276.59,351,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00173,Smartphone (Model E29),CAT-0035,65835.66,485,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00174,Tablet (Model C41),CAT-0035,13883.87,391,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00175,Smartwatch (Model T86),CAT-0035,64305.56,115,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00176,Smartwatch (Model O66),CAT-0036,27301.48,301,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00177,Smartwatch (Model J82),CAT-0036,51577.05,312,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00178,Smartphone (Model Y36),CAT-0036,51913.63,135,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00179,Smartphone (Model F40),CAT-0036,18036.02,38,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00180,Laptop (Model A62),CAT-0036,38787.78,304,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00181,Smartwatch (Model J14),CAT-0037,22360.72,361,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00182,Tablet (Model W68),CAT-0037,10338.48,119,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00183,Tablet (Model Z90),CAT-0037,49234.22,411,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00184,Laptop (Model N24),CAT-0037,45842.18,331,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00185,Laptop (Model I28),CAT-0037,10355.74,84,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00186,Tablet (Model T82),CAT-0038,74089.44,224,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00187,Smartphone (Model O98),CAT-0038,27806.84,206,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00188,Tablet (Model Q79),CAT-0038,42034.64,41,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00189,Smartphone (Model N51),CAT-0038,50278.52,13,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00190,Smartphone (Model H96),CAT-0038,67696.9,294,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00191,Smartphone (Model Y96),CAT-0039,66606.59,295,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00192,Smartphone (Model Y32),CAT-0039,40287.56,333,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00193,Smartwatch (Model I33),CAT-0039,79770.91,223,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00194,Smartwatch (Model C70),CAT-0039,31097.08,170,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00195,Tablet (Model V23),CAT-0039,69329.98,168,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00196,Smartwatch (Model W73),CAT-0040,26616.33,483,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00197,Smartwatch (Model Y80),CAT-0040,7752.28,45,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00198,Tablet (Model I51),CAT-0040,13694.12,395,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00199,Smartwatch (Model Q10),CAT-0040,54324.53,277,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00200,Smartwatch (Model N16),CAT-0040,19068.69,185,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00201,Smartwatch (Model U66),CAT-0041,61999.29,104,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00202,Tablet (Model R26),CAT-0041,74575.46,224,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00203,Smartwatch (Model D13),CAT-0041,77986.01,311,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00204,Laptop (Model W30),CAT-0041,28306.26,7,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00205,Smartwatch (Model C38),CAT-0041,79419.29,467,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00206,Smartphone (Model O25),CAT-0042,53578.23,78,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00207,Smartwatch (Model W47),CAT-0042,43165.4,139,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00208,Smartwatch (Model P70),CAT-0042,23279.82,282,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00209,Laptop (Model M34),CAT-0042,74140.11,260,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00210,Laptop (Model C45),CAT-0042,62950.63,437,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00211,Smartwatch (Model K74),CAT-0043,25037.95,1,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00212,Tablet (Model X48),CAT-0043,67810.69,296,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00213,Smartwatch (Model E67),CAT-0043,45393.54,176,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00214,Tablet (Model R79),CAT-0043,33290.75,477,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00215,Tablet (Model G99),CAT-0043,22910.42,196,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00216,Laptop (Model Y62),CAT-0044,8273.55,381,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00217,Smartwatch (Model W58),CAT-0044,33955.91,339,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00218,Laptop (Model P14),CAT-0044,14468.47,494,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00219,Tablet (Model D66),CAT-0044,12478.38,466,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00220,Smartwatch (Model A28),CAT-0044,35748.4,335,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00221,Laptop (Model C70),CAT-0045,63614.4,135,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00222,Tablet (Model T98),CAT-0045,34811.25,41,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00223,Tablet (Model V78),CAT-0045,33500.7,162,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00224,Smartwatch (Model R14),CAT-0045,51309.46,120,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00225,Tablet (Model H21),CAT-0045,37547.86,50,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00226,Smartphone (Model O31),CAT-0046,57050.09,462,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00227,Smartphone (Model B51),CAT-0046,64710.76,150,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00228,Tablet (Model L65),CAT-0046,15917.73,271,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00229,Smartwatch (Model S97),CAT-0046,64438.96,87,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00230,Laptop (Model C88),CAT-0046,70312.97,317,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00231,Laptop (Model P84),CAT-0047,15733.83,236,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00232,Tablet (Model O42),CAT-0047,55013.05,460,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00233,Smartwatch (Model J96),CAT-0047,45994.86,37,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00234,Smartwatch (Model L85),CAT-0047,27436.57,492,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00235,Smartwatch (Model W42),CAT-0047,39262.69,154,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00236,Laptop (Model M71),CAT-0048,12999.0,195,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00237,Tablet (Model S47),CAT-0048,79451.9,151,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00238,Smartphone (Model V60),CAT-0048,25586.03,289,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00239,Smartphone (Model T73),CAT-0048,67462.92,462,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00240,Tablet (Model Y39),CAT-0048,50529.87,180,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00241,Laptop (Model U34),CAT-0049,51566.84,347,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00242,Laptop (Model U22),CAT-0049,72755.28,330,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00243,Smartphone (Model J66),CAT-0049,7502.34,186,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00244,Laptop (Model C47),CAT-0049,29503.93,212,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00245,Laptop (Model G26),CAT-0049,63988.46,448,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00246,Tablet (Model Q74),CAT-0050,73511.52,425,High-quality tablet suitable for Indian conditions.,Amazon
