category_id,category_name,subcategory,parent_category_id,platform
CAT-0068,Clothing,Subcategory 18,CAT-0051,Amazon
CAT-0069,Clothing,Subcategory 19,CAT-0051,Amazon
CAT-0070,Clothing,Subcategory 20,CAT-0051,Amazon
CAT-0071,Clothing,Subcategory 21,CAT-0051,Amazon
CAT-0072,Clothing,Subcategory 22,CAT-0051,Amazon
CAT-0073,Clothing,Subcategory 23,CAT-0051,Amazon
CAT-0074,Clothing,Subcategory 24,CAT-0051,Amazon
CAT-0075,Clothing,Subcategory 25,CAT-0051,Amazon
CAT-0076,Clothing,Subcategory 26,CAT-0051,Amazon
CAT-0077,Clothing,Subcategory 27,CAT-0051,Amazon
CAT-0078,Clothing,Subcategory 28,CAT-0051,Amazon
CAT-0079,Clothing,Subcategory 29,CAT-0051,Amazon
CAT-0080,Clothing,Subcategory 30,CAT-0051,Amazon
CAT-0081,Clothing,Subcategory 31,CAT-0051,Amazon
CAT-0082,Clothing,Subcategory 32,CAT-0051,Amazon
CAT-0083,Clothing,Subcategory 33,CAT-0051,Amazon
CAT-0084,Clothing,Subcategory 34,CAT-0051,Amazon
CAT-0085,Clothing,Subcategory 35,CAT-0051,Amazon
CAT-0086,Clothing,Subcategory 36,CAT-0051,Amazon
CAT-0087,Clothing,Subcategory 37,CAT-0051,Amazon
CAT-0088,Clothing,Subcategory 38,CAT-0051,Amazon
CAT-0089,Clothing,Subcategory 39,CAT-0051,Amazon
CAT-0090,Clothing,Subcategory 40,CAT-0051,Amazon
CAT-0091,Clothing,Subcategory 41,CAT-0051,Amazon
CAT-0092,Clothing,Subcategory 42,CAT-0051,Amazon
CAT-0093,Clothing,Subcategory 43,CAT-0051,Amazon
CAT-0094,Clothing,Subcategory 44,CAT-0051,Amazon
CAT-0095,Clothing,Subcategory 45,CAT-0051,Amazon
CAT-0096,Clothing,Subcategory 46,CAT-0051,Amazon
CAT-0097,Clothing,Subcategory 47,CAT-0051,Amazon
CAT-0098,Clothing,Subcategory 48,CAT-0051,Amazon
CAT-0099,Clothing,Subcategory 49,CAT-0051,Amazon
CAT-0100,Clothing,Subcategory 50,CAT-0101,Amazon
CAT-0101,Accessories,Subcategory 1,,Amazon
CAT-0102,Accessories,Subcategory 2,CAT-0101,Amazon
CAT-0103,Accessories,Subcategory 3,CAT-0101,Amazon
CAT-0104,Accessories,Subcategory 4,CAT-0101,Amazon
CAT-0105,Accessories,Subcategory 5,CAT-0101,Amazon
CAT-0106,Accessories,Subcategory 6,CAT-0101,Amazon
CAT-0107,Accessories,Subcategory 7,CAT-0101,Amazon
CAT-0108,Accessories,Subcategory 8,CAT-0101,Amazon
CAT-0109,Accessories,Subcategory 9,CAT-0101,Amazon
CAT-0110,Accessories,Subcategory 10,CAT-0101,Amazon
CAT-0111,Accessories,Subcategory 11,CAT-0101,Amazon
CAT-0112,Accessories,Subcategory 12,CAT-0101,Amazon
CAT-0113,Accessories,Subcategory 13,CAT-0101,Amazon
CAT-0114,Accessories,Subcategory 14,CAT-0101,Amazon
CAT-0115,Accessories,Subcategory 15,CAT-0101,Amazon
CAT-0116,Accessories,Subcategory 16,CAT-0101,Amazon
CAT-0117,Accessories,Subcategory 17,CAT-0101,Amazon
CAT-0118,Accessories,Subcategory 18,CAT-0101,Amazon
CAT-0119,Accessories,Subcategory 19,CAT-0101,Amazon
CAT-0120,Accessories,Subcategory 20,CAT-0101,Amazon
CAT-0121,Accessories,Subcategory 21,CAT-0101,Amazon
CAT-0122,Accessories,Subcategory 22,CAT-0101,Amazon
CAT-0123,Accessories,Subcategory 23,CAT-0101,Amazon
CAT-0124,Accessories,Subcategory 24,CAT-0101,Amazon
CAT-0125,Accessories,Subcategory 25,CAT-0101,Amazon
CAT-0126,Accessories,Subcategory 26,CAT-0101,Amazon
CAT-0127,Accessories,Subcategory 27,CAT-0101,Amazon
CAT-0128,Accessories,Subcategory 28,CAT-0101,Amazon
CAT-0129,Accessories,Subcategory 29,CAT-0101,Amazon
CAT-0130,Accessories,Subcategory 30,CAT-0101,Amazon
CAT-0131,Accessories,Subcategory 31,CAT-0101,Amazon
CAT-0132,Accessories,Subcategory 32,CAT-0101,Amazon
CAT-0133,Accessories,Subcategory 33,CAT-0101,Amazon
CAT-0134,Accessories,Subcategory 34,CAT-0101,Amazon
CAT-0135,Accessories,Subcategory 35,CAT-0101,Amazon
CAT-0136,Accessories,Subcategory 36,CAT-0101,Amazon
CAT-0137,Accessories,Subcategory 37,CAT-0101,Amazon
CAT-0138,Accessories,Subcategory 38,CAT-0101,Amazon
CAT-0139,Accessories,Subcategory 39,CAT-0101,Amazon
CAT-0140,Accessories,Subcategory 40,CAT-0101,Amazon
CAT-0141,Accessories,Subcategory 41,CAT-0101,Amazon
CAT-0142,Accessories,Subcategory 42,CAT-0101,Amazon
CAT-0143,Accessories,Subcategory 43,CAT-0101,Amazon
CAT-0144,Accessories,Subcategory 44,CAT-0101,Amazon
CAT-0145,Accessories,Subcategory 45,CAT-0101,Amazon
CAT-0146,Accessories,Subcategory 46,CAT-0101,Amazon
CAT-0147,Accessories,Subcategory 47,CAT-0101,Amazon
CAT-0148,Accessories,Subcategory 48,CAT-0101,Amazon
CAT-0149,Accessories,Subcategory 49,CAT-0101,Amazon
CAT-0150,Accessories,Subcategory 50,CAT-0151,Amazon
CAT-0151,Home,Subcategory 1,,Amazon
CAT-0152,Home,Subcategory 2,CAT-0151,Amazon
CAT-0153,Home,Subcategory 3,CAT-0151,Amazon
CAT-0154,Home,Subcategory 4,CAT-0151,Amazon
CAT-0155,Home,Subcategory 5,CAT-0151,Amazon
CAT-0156,Home,Subcategory 6,CAT-0151,Amazon
CAT-0157,Home,Subcategory 7,CAT-0151,Amazon
CAT-0158,Home,Subcategory 8,CAT-0151,Amazon
CAT-0159,Home,Subcategory 9,CAT-0151,Amazon
CAT-0160,Home,Subcategory 10,CAT-0151,Amazon
CAT-0161,Home,Subcategory 11,CAT-0151,Amazon
CAT-0162,Home,Subcategory 12,CAT-0151,Amazon
CAT-0163,Home,Subcategory 13,CAT-0151,Amazon
CAT-0164,Home,Subcategory 14,CAT-0151,Amazon
CAT-0165,Home,Subcategory 15,CAT-0151,Amazon
CAT-0166,Home,Subcategory 16,CAT-0151,Amazon
CAT-0167,Home,Subcategory 17,CAT-0151,Amazon
CAT-0168,Home,Subcategory 18,CAT-0151,Amazon
CAT-0169,Home,Subcategory 19,CAT-0151,Amazon
CAT-0170,Home,Subcategory 20,CAT-0151,Amazon
CAT-0171,Home,Subcategory 21,CAT-0151,Amazon
CAT-0172,Home,Subcategory 22,CAT-0151,Amazon
CAT-0173,Home,Subcategory 23,CAT-0151,Amazon
CAT-0174,Home,Subcategory 24,CAT-0151,Amazon
CAT-0175,Home,Subcategory 25,CAT-0151,Amazon
CAT-0176,Home,Subcategory 26,CAT-0151,Amazon
CAT-0177,Home,Subcategory 27,CAT-0151,Amazon
CAT-0178,Home,Subcategory 28,CAT-0151,Amazon
CAT-0179,Home,Subcategory 29,CAT-0151,Amazon
CAT-0180,Home,Subcategory 30,CAT-0151,Amazon
CAT-0181,Home,Subcategory 31,CAT-0151,Amazon
CAT-0182,Home,Subcategory 32,CAT-0151,Amazon
CAT-0183,Home,Subcategory 33,CAT-0151,Amazon
CAT-0184,Home,Subcategory 34,CAT-0151,Amazon
CAT-0185,Home,Subcategory 35,CAT-0151,Amazon
CAT-0186,Home,Subcategory 36,CAT-0151,Amazon
CAT-0187,Home,Subcategory 37,CAT-0151,Amazon
CAT-0188,Home,Subcategory 38,CAT-0151,Amazon
CAT-0189,Home,Subcategory 39,CAT-0151,Amazon
CAT-0190,Home,Subcategory 40,CAT-0151,Amazon
CAT-0191,Home,Subcategory 41,CAT-0151,Amazon
CAT-0192,Home,Subcategory 42,CAT-0151,Amazon
CAT-0193,Home,Subcategory 43,CAT-0151,Amazon
CAT-0194,Home,Subcategory 44,CAT-0151,Amazon
CAT-0195,Home,Subcategory 45,CAT-0151,Amazon
CAT-0196,Home,Subcategory 46,CAT-0151,Amazon
CAT-0197,Home,Subcategory 47,CAT-0151,Amazon
CAT-0198,Home,Subcategory 48,CAT-0151,Amazon
CAT-0199,Home,Subcategory 49,CAT-0151,Amazon
CAT-0200,Home,Subcategory 50,CAT-0201,Amazon
CAT-0201,Beauty,Subcategory 1,,Amazon
CAT-0202,Beauty,Subcategory 2,CAT-0201,Amazon
CAT-0203,Beauty,Subcategory 3,CAT-0201,Amazon
CAT-0204,Beauty,Subcategory 4,CAT-0201,Amazon
CAT-0205,Beauty,Subcategory 5,CAT-0201,Amazon
CAT-0206,Beauty,Subcategory 6,CAT-0201,Amazon
CAT-0207,Beauty,Subcategory 7,CAT-0201,Amazon
CAT-0208,Beauty,Subcategory 8,CAT-0201,Amazon
CAT-0209,Beauty,Subcategory 9,CAT-0201,Amazon
CAT-0210,Beauty,Subcategory 10,CAT-0201,Amazon
CAT-0211,Beauty,Subcategory 11,CAT-0201,Amazon
CAT-0212,Beauty,Subcategory 12,CAT-0201,Amazon
CAT-0213,Beauty,Subcategory 13,CAT-0201,Amazon
CAT-0214,Beauty,Subcategory 14,CAT-0201,Amazon
CAT-0215,Beauty,Subcategory 15,CAT-0201,Amazon
CAT-0216,Beauty,Subcategory 16,CAT-0201,Amazon
CAT-0217,Beauty,Subcategory 17,CAT-0201,Amazon
CAT-0218,Beauty,Subcategory 18,CAT-0201,Amazon
CAT-0219,Beauty,Subcategory 19,CAT-0201,Amazon
CAT-0220,Beauty,Subcategory 20,CAT-0201,Amazon
CAT-0221,Beauty,Subcategory 21,CAT-0201,Amazon
CAT-0222,Beauty,Subcategory 22,CAT-0201,Amazon
CAT-0223,Beauty,Subcategory 23,CAT-0201,Amazon
CAT-0224,Beauty,Subcategory 24,CAT-0201,Amazon
CAT-0225,Beauty,Subcategory 25,CAT-0201,Amazon
CAT-0226,Beauty,Subcategory 26,CAT-0201,Amazon
CAT-0227,Beauty,Subcategory 27,CAT-0201,Amazon
CAT-0228,Beauty,Subcategory 28,CAT-0201,Amazon
CAT-0229,Beauty,Subcategory 29,CAT-0201,Amazon
CAT-0230,Beauty,Subcategory 30,CAT-0201,Amazon
CAT-0231,Beauty,Subcategory 31,CAT-0201,Amazon
CAT-0232,Beauty,Subcategory 32,CAT-0201,Amazon
CAT-0233,Beauty,Subcategory 33,CAT-0201,Amazon
CAT-0234,Beauty,Subcategory 34,CAT-0201,Amazon
CAT-0235,Beauty,Subcategory 35,CAT-0201,Amazon
CAT-0236,Beauty,Subcategory 36,CAT-0201,Amazon
CAT-0237,Beauty,Subcategory 37,CAT-0201,Amazon
CAT-0238,Beauty,Subcategory 38,CAT-0201,Amazon
CAT-0239,Beauty,Subcategory 39,CAT-0201,Amazon
CAT-0240,Beauty,Subcategory 40,CAT-0201,Amazon
CAT-0241,Beauty,Subcategory 41,CAT-0201,Amazon
CAT-0242,Beauty,Subcategory 42,CAT-0201,Amazon
CAT-0243,Beauty,Subcategory 43,CAT-0201,Amazon
CAT-0244,Beauty,Subcategory 44,CAT-0201,Amazon
CAT-0245,Beauty,Subcategory 45,CAT-0201,Amazon
CAT-0246,Beauty,Subcategory 46,CAT-0201,Amazon
CAT-0247,Beauty,Subcategory 47,CAT-0201,Amazon
CAT-0248,Beauty,Subcategory 48,CAT-0201,Amazon
CAT-0249,Beauty,Subcategory 49,CAT-0201,Amazon
CAT-0250,Beauty,Subcategory 50,CAT-0251,Amazon
CAT-0251,Sports,Subcategory 1,,Amazon
CAT-0252,Sports,Subcategory 2,CAT-0251,Amazon
CAT-0253,Sports,Subcategory 3,CAT-0251,Amazon
CAT-0254,Sports,Subcategory 4,CAT-0251,Amazon
CAT-0255,Sports,Subcategory 5,CAT-0251,Amazon
CAT-0256,Sports,Subcategory 6,CAT-0251,Amazon
CAT-0257,Sports,Subcategory 7,CAT-0251,Amazon
CAT-0258,Sports,Subcategory 8,CAT-0251,Amazon
CAT-0259,Sports,Subcategory 9,CAT-0251,Amazon
CAT-0260,Sports,Subcategory 10,CAT-0251,Amazon
CAT-0261,Sports,Subcategory 11,CAT-0251,Amazon
CAT-0262,Sports,Subcategory 12,CAT-0251,Amazon
CAT-0263,Sports,Subcategory 13,CAT-0251,Amazon
CAT-0264,Sports,Subcategory 14,CAT-0251,Amazon
CAT-0265,Sports,Subcategory 15,CAT-0251,Amazon
CAT-0266,Sports,Subcategory 16,CAT-0251,Amazon
CAT-0267,Sports,Subcategory 17,CAT-0251,Amazon
CAT-0268,Sports,Subcategory 18,CAT-0251,Amazon
CAT-0269,Sports,Subcategory 19,CAT-0251,Amazon
CAT-0270,Sports,Subcategory 20,CAT-0251,Amazon
CAT-0271,Sports,Subcategory 21,CAT-0251,Amazon
CAT-0272,Sports,Subcategory 22,CAT-0251,Amazon
CAT-0273,Sports,Subcategory 23,CAT-0251,Amazon
CAT-0274,Sports,Subcategory 24,CAT-0251,Amazon
CAT-0275,Sports,Subcategory 25,CAT-0251,Amazon
CAT-0276,Sports,Subcategory 26,CAT-0251,Amazon
CAT-0277,Sports,Subcategory 27,CAT-0251,Amazon
CAT-0278,Sports,Subcategory 28,CAT-0251,Amazon
CAT-0279,Sports,Subcategory 29,CAT-0251,Amazon
CAT-0280,Sports,Subcategory 30,CAT-0251,Amazon
CAT-0281,Sports,Subcategory 31,CAT-0251,Amazon
CAT-0282,Sports,Subcategory 32,CAT-0251,Amazon
CAT-0283,Sports,Subcategory 33,CAT-0251,Amazon
CAT-0284,Sports,Subcategory 34,CAT-0251,Amazon
CAT-0285,Sports,Subcategory 35,CAT-0251,Amazon
CAT-0286,Sports,Subcategory 36,CAT-0251,Amazon
CAT-0287,Sports,Subcategory 37,CAT-0251,Amazon
CAT-0288,Sports,Subcategory 38,CAT-0251,Amazon
CAT-0289,Sports,Subcategory 39,CAT-0251,Amazon
CAT-0290,Sports,Subcategory 40,CAT-0251,Amazon
CAT-0291,Sports,Subcategory 41,CAT-0251,Amazon
CAT-0292,Sports,Subcategory 42,CAT-0251,Amazon
CAT-0293,Sports,Subcategory 43,CAT-0251,Amazon
CAT-0294,Sports,Subcategory 44,CAT-0251,Amazon
CAT-0295,Sports,Subcategory 45,CAT-0251,Amazon
CAT-0296,Sports,Subcategory 46,CAT-0251,Amazon
CAT-0297,Sports,Subcategory 47,CAT-0251,Amazon
CAT-0298,Sports,Subcategory 48,CAT-0251,Amazon
CAT-0299,Sports,Subcategory 49,CAT-0251,Amazon
CAT-0300,Sports,Subcategory 50,CAT-0301,Amazon
CAT-0301,Books,Subcategory 1,,Amazon
CAT-0302,Books,Subcategory 2,CAT-0301,Amazon
CAT-0303,Books,Subcategory 3,CAT-0301,Amazon
CAT-0304,Books,Subcategory 4,CAT-0301,Amazon
CAT-0305,Books,Subcategory 5,CAT-0301,Amazon
CAT-0306,Books,Subcategory 6,CAT-0301,Amazon
CAT-0307,Books,Subcategory 7,CAT-0301,Amazon
CAT-0308,Books,Subcategory 8,CAT-0301,Amazon
CAT-0309,Books,Subcategory 9,CAT-0301,Amazon
CAT-0310,Books,Subcategory 10,CAT-0301,Amazon
CAT-0311,Books,Subcategory 11,CAT-0301,Amazon
CAT-0312,Books,Subcategory 12,CAT-0301,Amazon
CAT-0313,Books,Subcategory 13,CAT-0301,Amazon
CAT-0314,Books,Subcategory 14,CAT-0301,Amazon
CAT-0315,Books,Subcategory 15,CAT-0301,Amazon
CAT-0316,Books,Subcategory 16,CAT-0301,Amazon
CAT-0317,Books,Subcategory 17,CAT-0301,Amazon
CAT-0318,Books,Subcategory 18,CAT-0301,Amazon
CAT-0319,Books,Subcategory 19,CAT-0301,Amazon
CAT-0320,Books,Subcategory 20,CAT-0301,Amazon
CAT-0321,Books,Subcategory 21,CAT-0301,Amazon
CAT-0322,Books,Subcategory 22,CAT-0301,Amazon
CAT-0323,Books,Subcategory 23,CAT-0301,Amazon
CAT-0324,Books,Subcategory 24,CAT-0301,Amazon
CAT-0325,Books,Subcategory 25,CAT-0301,Amazon
CAT-0326,Books,Subcategory 26,CAT-0301,Amazon
CAT-0327,Books,Subcategory 27,CAT-0301,Amazon
CAT-0328,Books,Subcategory 28,CAT-0301,Amazon
CAT-0329,Books,Subcategory 29,CAT-0301,Amazon
CAT-0330,Books,Subcategory 30,CAT-0301,Amazon
CAT-0331,Books,Subcategory 31,CAT-0301,Amazon
CAT-0332,Books,Subcategory 32,CAT-0301,Amazon
CAT-0333,Books,Subcategory 33,CAT-0301,Amazon
CAT-0334,Books,Subcategory 34,CAT-0301,Amazon
CAT-0335,Books,Subcategory 35,CAT-0301,Amazon
CAT-0336,Books,Subcategory 36,CAT-0301,Amazon
CAT-0337,Books,Subcategory 37,CAT-0301,Amazon
CAT-0338,Books,Subcategory 38,CAT-0301,Amazon
CAT-0339,Books,Subcategory 39,CAT-0301,Amazon
CAT-0340,Books,Subcategory 40,CAT-0301,Amazon
CAT-0341,Books,Subcategory 41,CAT-0301,Amazon
CAT-0342,Books,Subcategory 42,CAT-0301,Amazon
CAT-0343,Books,Subcategory 43,CAT-0301,Amazon
CAT-0344,Books,Subcategory 44,CAT-0301,Amazon
CAT-0345,Books,Subcategory 45,CAT-0301,Amazon
CAT-0346,Books,Subcategory 46,CAT-0301,Amazon
CAT-0347,Books,Subcategory 47,CAT-0301,Amazon
CAT-0348,Books,Subcategory 48,CAT-0301,Amazon
CAT-0349,Books,Subcategory 49,CAT-0301,Amazon
CAT-0350,Books,Subcategory 50,CAT-0351,Amazon
CAT-0351,Toys,Subcategory 1,,Amazon
CAT-0352,Toys,Subcategory 2,CAT-0351,Amazon
CAT-0353,Toys,Subcategory 3,CAT-0351,Amazon
CAT-0354,Toys,Subcategory 4,CAT-0351,Amazon
CAT-0355,Toys,Subcategory 5,CAT-0351,Amazon
CAT-0356,Toys,Subcategory 6,CAT-0351,Amazon
CAT-0357,Toys,Subcategory 7,CAT-0351,Amazon
CAT-0358,Toys,Subcategory 8,CAT-0351,Amazon
CAT-0359,Toys,Subcategory 9,CAT-0351,Amazon
CAT-0360,Toys,Subcategory 10,CAT-0351,Amazon
CAT-0361,Toys,Subcategory 11,CAT-0351,Amazon
CAT-0362,Toys,Subcategory 12,CAT-0351,Amazon
CAT-0363,Toys,Subcategory 13,CAT-0351,Amazon
CAT-0364,Toys,Subcategory 14,CAT-0351,Amazon
CAT-0365,Toys,Subcategory 15,CAT-0351,Amazon
CAT-0366,Toys,Subcategory 16,CAT-0351,Amazon
CAT-0367,Toys,Subcategory 17,CAT-0351,Amazon
CAT-0368,Toys,Subcategory 18,CAT-0351,Amazon
CAT-0369,Toys,Subcategory 19,CAT-0351,Amazon
CAT-0370,Toys,Subcategory 20,CAT-0351,Amazon
CAT-0371,Toys,Subcategory 21,CAT-0351,Amazon
CAT-0372,Toys,Subcategory 22,CAT-0351,Amazon
CAT-0373,Toys,Subcategory 23,CAT-0351,Amazon
CAT-0374,Toys,Subcategory 24,CAT-0351,Amazon
CAT-0375,Toys,Subcategory 25,CAT-0351,Amazon
CAT-0376,Toys,Subcategory 26,CAT-0351,Amazon
CAT-0377,Toys,Subcategory 27,CAT-0351,Amazon
CAT-0378,Toys,Subcategory 28,CAT-0351,Amazon
CAT-0379,Toys,Subcategory 29,CAT-0351,Amazon
CAT-0380,Toys,Subcategory 30,CAT-0351,Amazon
CAT-0381,Toys,Subcategory 31,CAT-0351,Amazon
CAT-0382,Toys,Subcategory 32,CAT-0351,Amazon
CAT-0383,Toys,Subcategory 33,CAT-0351,Amazon
CAT-0384,Toys,Subcategory 34,CAT-0351,Amazon
CAT-0385,Toys,Subcategory 35,CAT-0351,Amazon
CAT-0386,Toys,Subcategory 36,CAT-0351,Amazon
CAT-0387,Toys,Subcategory 37,CAT-0351,Amazon
CAT-0388,Toys,Subcategory 38,CAT-0351,Amazon
CAT-0389,Toys,Subcategory 39,CAT-0351,Amazon
CAT-0390,Toys,Subcategory 40,CAT-0351,Amazon
CAT-0391,Toys,Subcategory 41,CAT-0351,Amazon
CAT-0392,Toys,Subcategory 42,CAT-0351,Amazon
CAT-0393,Toys,Subcategory 43,CAT-0351,Amazon
CAT-0394,Toys,Subcategory 44,CAT-0351,Amazon
CAT-0395,Toys,Subcategory 45,CAT-0351,Amazon
CAT-0396,Toys,Subcategory 46,CAT-0351,Amazon
CAT-0397,Toys,Subcategory 47,CAT-0351,Amazon
CAT-0398,Toys,Subcategory 48,CAT-0351,Amazon
CAT-0399,Toys,Subcategory 49,CAT-0351,Amazon
CAT-0400,Toys,Subcategory 50,CAT-0401,Amazon
CAT-0401,Automotive,Subcategory 1,,Amazon
CAT-0402,Automotive,Subcategory 2,CAT-0401,Amazon
CAT-0403,Automotive,Subcategory 3,CAT-0401,Amazon
CAT-0404,Automotive,Subcategory 4,CAT-0401,Amazon
CAT-0405,Automotive,Subcategory 5,CAT-0401,Amazon
CAT-0406,Automotive,Subcategory 6,CAT-0401,Amazon
CAT-0407,Automotive,Subcategory 7,CAT-0401,Amazon
CAT-0408,Automotive,Subcategory 8,CAT-0401,Amazon
CAT-0409,Automotive,Subcategory 9,CAT-0401,Amazon
CAT-0410,Automotive,Subcategory 10,CAT-0401,Amazon
CAT-0411,Automotive,Subcategory 11,CAT-0401,Amazon
CAT-0412,Automotive,Subcategory 12,CAT-0401,Amazon
CAT-0413,Automotive,Subcategory 13,CAT-0401,Amazon
CAT-0414,Automotive,Subcategory 14,CAT-0401,Amazon
CAT-0415,Automotive,Subcategory 15,CAT-0401,Amazon
CAT-0416,Automotive,Subcategory 16,CAT-0401,Amazon
CAT-0417,Automotive,Subcategory 17,CAT-0401,Amazon
CAT-0418,Automotive,Subcategory 18,CAT-0401,Amazon
CAT-0419,Automotive,Subcategory 19,CAT-0401,Amazon
CAT-0420,Automotive,Subcategory 20,CAT-0401,Amazon
CAT-0421,Automotive,Subcategory 21,CAT-0401,Amazon
CAT-0422,Automotive,Subcategory 22,CAT-0401,Amazon
CAT-0423,Automotive,Subcategory 23,CAT-0401,Amazon
CAT-0424,Automotive,Subcategory 24,CAT-0401,Amazon
CAT-0425,Automotive,Subcategory 25,CAT-0401,Amazon
CAT-0426,Automotive,Subcategory 26,CAT-0401,Amazon
CAT-0427,Automotive,Subcategory 27,CAT-0401,Amazon
CAT-0428,Automotive,Subcategory 28,CAT-0401,Amazon
CAT-0429,Automotive,Subcategory 29,CAT-0401,Amazon
CAT-0430,Automotive,Subcategory 30,CAT-0401,Amazon
CAT-0431,Automotive,Subcategory 31,CAT-0401,Amazon
CAT-0432,Automotive,Subcategory 32,CAT-0401,Amazon
CAT-0433,Automotive,Subcategory 33,CAT-0401,Amazon
CAT-0434,Automotive,Subcategory 34,CAT-0401,Amazon
CAT-0435,Automotive,Subcategory 35,CAT-0401,Amazon
CAT-0436,Automotive,Subcategory 36,CAT-0401,Amazon
CAT-0437,Automotive,Subcategory 37,CAT-0401,Amazon
CAT-0438,Automotive,Subcategory 38,CAT-0401,Amazon
CAT-0439,Automotive,Subcategory 39,CAT-0401,Amazon
CAT-0440,Automotive,Subcategory 40,CAT-0401,Amazon
CAT-0441,Automotive,Subcategory 41,CAT-0401,Amazon
CAT-0442,Automotive,Subcategory 42,CAT-0401,Amazon
CAT-0443,Automotive,Subcategory 43,CAT-0401,Amazon
CAT-0444,Automotive,Subcategory 44,CAT-0401,Amazon
CAT-0445,Automotive,Subcategory 45,CAT-0401,Amazon
CAT-0446,Automotive,Subcategory 46,CAT-0401,Amazon
CAT-0447,Automotive,Subcategory 47,CAT-0401,Amazon
